case,algorithm,m,iterations,time,final_rel_res,final_residual,aa_steps,aa_rate_percent
contractive_madelon,AA_residual,10,1479,0.29169774055480957,8.988510301103126e-11,2.0100301442626605e-10,1479,100.0
contractive_madelon,Picard,10,2000,0.17374134063720703,2.6613940063238763e-06,5.951466927522394e-06,0,0.0
contractive_madelon,KM lambda=0.5,10,2000,0.17337703704833984,1.945582110797746e-05,4.35075286097375e-05,0,0.0
contractive_madelon,GlobalAndersonSolver eta=0,20,199,0.2429032325744629,9.429427675265546e-11,2.108629042579196e-10,169,84.92462311557789
contractive_madelon,GlobalAndersonSolver eta=1e-08,20,173,0.0403904914855957,9.98637096790179e-11,2.2331739081178563e-10,168,97.10982658959537
contractive_madelon,AA_pure,20,2000,3.77793025970459,5.0223948621276205e-06,1.1231188184795742e-05,2000,100.0
contractive_madelon,AA_residual,20,2000,0.44708991050720215,6.611148838261918e-07,1.4783994241495902e-06,2000,100.0
contractive_madelon,Picard,20,2000,0.17374134063720703,2.6613940063238763e-06,5.951466927522394e-06,0,0.0
contractive_madelon,KM lambda=0.5,20,2000,0.17337703704833984,1.945582110797746e-05,4.35075286097375e-05,0,0.0
contractive_madelon,GlobalAndersonSolver eta=0,30,175,0.32384490966796875,8.028840353382781e-11,1.7954266717357243e-10,164,93.71428571428571
contractive_madelon,GlobalAndersonSolver eta=1e-08,30,223,0.05516219139099121,7.409965542964223e-11,1.6570325460357768e-10,191,85.65022421524664
contractive_madelon,AA_pure,30,2000,5.622427701950073,5.325084015911547e-06,1.1908068227278845e-05,2000,100.0
contractive_madelon,AA_residual,30,2000,0.5472049713134766,3.937716998109489e-06,8.805608049204967e-06,2000,100.0
contractive_madelon,Picard,30,2000,0.17374134063720703,2.6613940063238763e-06,5.951466927522394e-06,0,0.0
contractive_madelon,KM lambda=0.5,30,2000,0.17337703704833984,1.945582110797746e-05,4.35075286097375e-05,0,0.0
nonexpansive_ill_conditioned,GlobalAndersonSolver eta=0,1,25000,6.54297137260437,3.757519239795496e-08,9.416602769183957e-08,22089,88.356
nonexpansive_ill_conditioned,GlobalAndersonSolver eta=1e-10,1,25000,6.394194602966309,3.757519239795496e-08,9.416602769183957e-08,22089,88.356
nonexpansive_ill_conditioned,AA_pure,1,25000,8.685438394546509,2.5777297171557645e-08,6.459968730352487e-08,25000,100.0
nonexpansive_ill_conditioned,AA_residual,1,25000,8.794897317886353,2.5777297171557645e-08,6.459968730352487e-08,25000,100.0
nonexpansive_ill_conditioned,Picard,1,25000,6.559394836425781,4.282489798649533e-05,0.00010732215252518581,0,0.0
nonexpansive_ill_conditioned,KM lambda=0.5,1,25000,6.53107213973999,8.364277985974042e-05,0.00020961458403399763,0,0.0
nonexpansive_ill_conditioned,GlobalAndersonSolver eta=0,3,25000,12.61308217048645,8.793248421319091e-09,2.2036487945919973e-08,22573,90.292
nonexpansive_ill_conditioned,GlobalAndersonSolver eta=1e-10,3,12573,3.998807430267334,9.926178240908738e-11,2.487568833202886e-10,10081,80.17975025849042
nonexpansive_ill_conditioned,AA_pure,3,25000,17.050641775131226,1.2035211187867771e-08,3.0161070580588024e-08,25000,100.0
nonexpansive_ill_conditioned,AA_residual,3,11854,4.678791522979736,9.983421785626321e-11,2.501914460924405e-10,11854,100.0
nonexpansive_ill_conditioned,Picard,3,25000,6.559394836425781,4.282489798649533e-05,0.00010732215252518581,0,0.0
nonexpansive_ill_conditioned,KM lambda=0.5,3,25000,6.53107213973999,8.364277985974042e-05,0.00020961458403399763,0,0.0
nonexpansive_ill_conditioned,GlobalAndersonSolver eta=0,5,15396,8.928825616836548,9.906990941898337e-11,2.482760363532766e-10,12992,84.38555468952976
nonexpansive_ill_conditioned,GlobalAndersonSolver eta=1e-10,5,12292,3.976557970046997,9.884866546589527e-11,2.477215837241989e-10,10070,81.92320208265538
nonexpansive_ill_conditioned,AA_pure,5,25000,21.20092797279358,2.5890669192775156e-09,6.4883805419977394e-09,25000,100.0
nonexpansive_ill_conditioned,AA_residual,5,12206,5.101324558258057,9.97984689784143e-11,2.5010185693516297e-10,12206,100.0
nonexpansive_ill_conditioned,Picard,5,25000,6.559394836425781,4.282489798649533e-05,0.00010732215252518581,0,0.0
nonexpansive_ill_conditioned,KM lambda=0.5,5,25000,6.53107213973999,8.364277985974042e-05,0.00020961458403399763,0,0.0
nonexpansive_ill_conditioned,GlobalAndersonSolver eta=0,10,12785,9.496282577514648,9.990274245435875e-11,2.5036317346867045e-10,10333,80.82127493156042
nonexpansive_ill_conditioned,GlobalAndersonSolver eta=1e-10,10,11905,4.166013956069946,9.947021056262683e-11,2.492792186704337e-10,9487,79.68920621587569
nonexpansive_ill_conditioned,AA_pure,10,23096,32.7429256439209,9.975166882880057e-11,2.499845725274656e-10,23096,100.0
nonexpansive_ill_conditioned,AA_residual,10,15467,7.185781717300415,9.969049535254612e-11,2.4983126757035524e-10,15467,100.0
nonexpansive_ill_conditioned,Picard,10,25000,6.559394836425781,4.282489798649533e-05,0.00010732215252518581,0,0.0
nonexpansive_ill_conditioned,KM lambda=0.5,10,25000,6.53107213973999,8.364277985974042e-05,0.00020961458403399763,0,0.0
nonexpansive_ill_conditioned,GlobalAndersonSolver eta=0,20,11874,13.9171621799469,9.964188957426954e-11,2.497094581325032e-10,9303,78.34765032844871
nonexpansive_ill_conditioned,GlobalAndersonSolver eta=1e-10,20,11703,5.260324239730835,9.995591265612769e-11,2.5049642166708625e-10,9395,80.27856105272153
nonexpansive_ill_conditioned,AA_pure,20,25000,80.08124327659607,0.0002187235368345175,0.0005481362918460328,25000,100.0
nonexpansive_ill_conditioned,AA_residual,20,25000,17.596081972122192,0.00016649513624078757,0.00041724831223112767,25000,100.0
nonexpansive_ill_conditioned,Picard,20,25000,6.559394836425781,4.282489798649533e-05,0.00010732215252518581,0,0.0
nonexpansive_ill_conditioned,KM lambda=0.5,20,25000,6.53107213973999,8.364277985974042e-05,0.00020961458403399763,0,0.0
nonexpansive_ill_conditioned,GlobalAndersonSolver eta=0,30,11096,17.904765129089355,9.999811784191715e-11,2.5060219077803846e-10,8703,78.43366979091564
nonexpansive_ill_conditioned,GlobalAndersonSolver eta=1e-10,30,11893,5.641961097717285,9.986752534652709e-11,2.502749169637887e-10,9550,80.29933574371479
nonexpansive_ill_conditioned,AA_pure,30,25000,147.40448212623596,0.00025447081111013535,0.0006377214304580926,25000,100.0
nonexpansive_ill_conditioned,AA_residual,30,25000,19.340614557266235,0.00022190896311704777,0.0005561191901464386,25000,100.0
